Threads	clwb sfence	clwb	ns sfence	ns store	clf_load	load
10	955	955	21333	9142	1049	955
11	1032	1032	21333	9142	1142	1049
12	1122	1122	32000	9142	1254	1142
13	1230	1207	32000	9142	1333	1254
14	1333	1306	32000	10666	1454	1333
15	1422	1391	32000	10666	1560	1422
16	1523	1488	32000	12800	1641	1523
17	1600	1560	32000	12800	1729	1641
18	1729	1641	32000	12800	1828	1729
19	1777	1729	32000	12800	1939	1828
1	104	104	1306	1391	101	103
20	1882	1777	64000	12800	2000	1882
21	1939	1828	64000	12800	2133	2000
22	2064	1939	64000	12800	2206	2133
23	2133	2000	64000	12800	2285	2206
24	2206	2064	64000	12800	2461	2285
2	208	208	3200	3368	209	207
3	313	313	4923	5333	313	307
4	418	418	7111	7111	418	405
5	516	516	9142	9142	524	500
6	609	609	10666	10666	627	587
7	703	703	12800	10666	735	680
8	780	780	16000	9142	842	771
9	864	864	16000	9142	941	864
