Threads	clwb sfence	clwb	ns sfence	ns store	clf_load	load
10	2560	2560	6400	5333	2461	2461
11	2666	2666	6400	5818	2560	2666
12	2782	2782	5333	5818	2560	2666
13	2909	2909	5333	5333	2666	2782
14	3047	3047	5333	5818	2782	2909
15	3200	3047	5333	5818	2782	3047
16	3764	3555	8000	7111	3555	3555
17	3555	3555	5818	6400	3200	3368
18	3764	3555	6400	6400	3368	3555
19	3368	2909	5333	5818	3555	3764
1	395	400	1391	1454	395	390
20	4266	4000	7111	7111	3764	4000
21	4266	4000	7111	6400	3764	4000
22	4000	4000	7111	7111	4000	4000
23	1828	3555	3200	5818	1684	3764
24	4923	4571	7111	7111	4571	4571
2	703	727	2133	2206	646	703
3	984	969	2560	2560	914	969
4	1230	1207	2909	3047	1230	1207
5	1560	1560	3555	3555	1422	1488
6	1828	1828	4571	4571	1684	1729
7	2000	2000	4571	4571	1777	1939
8	2064	2206	4571	5818	1939	2133
9	2370	2285	5818	4571	2285	2206
