Threads	clwb sfence	clwb	ns sfence	ns store	clf_load	load
10	1560	1523	2285	2285	1523	1523
11	1641	1600	2461	2461	1560	1560
12	2285	2285	3764	4000	2206	2206
13	2370	2461	4000	4000	2285	2370
14	2000	1939	3047	2909	2000	2000
15	2133	2133	3200	3200	2133	2064
16	2206	2206	3368	3200	2206	2206
1	158	159	256	256	168	169
2	328	335	484	463	320	315
3	496	496	771	744	496	492
4	659	646	1015	1000	640	653
5	800	800	1230	1207	780	820
6	941	927	1391	1391	955	927
7	1066	1084	1684	1600	1049	1122
8	1230	1207	1882	1828	1230	1254
9	1333	1361	2064	2000	1333	1333
