Threads	clwb sfence	clwb	ns sfence	ns store	clf_load	load
10	4923	4923	21333	21333	4923	4923
11	5333	5333	32000	32000	5333	5333
12	5818	5818	32000	32000	5818	5818
13	6400	6400	32000	32000	6400	6400
14	7111	7111	32000	32000	7111	7111
15	7111	7111	32000	32000	8000	7111
16	8000	8000	64000	64000	8000	8000
1	467	467	1729	1777	460	450
2	984	984	4000	4266	969	941
3	1488	1488	6400	6400	1488	1422
4	1939	1939	8000	9142	1939	1882
5	2461	2461	10666	10666	2461	2370
6	2909	2909	12800	12800	3047	2909
7	3368	3368	16000	16000	3555	3368
8	4000	4000	21333	21333	4000	4000
9	4266	4266	21333	21333	4571	4266
