Threads	clwb sfence	clwb	ns sfence	ns store	clf_load	load
10	8000	32000	32000	32000	12800	10666
11	8000	32000	64000	64000	12800	10666
12	9142	32000	64000	64000	12800	10666
13	10666	32000	64000	64000	16000	12800
14	10666	32000	64000	64000	16000	12800
15	12800	32000	64000	64000	16000	12800
16	12800	32000	64000	64000	21333	12800
1	680	2782	2909	3200	1207	2782
2	1422	5818	6400	6400	2133	4000
3	2133	9142	9142	10666	3200	3200
4	3555	12800	12800	12800	5333	4571
5	3764	16000	16000	16000	5818	4923
6	4571	16000	21333	21333	7111	5818
7	5333	21333	21333	32000	8000	7111
8	5818	21333	32000	32000	9142	8000
9	7111	21333	32000	32000	10666	8000
