Threads	clwb sfence	clwb	ns sfence	ns store	clf_load	load
1	402	405	1422	1454	400	392
2	680	680	2206	2206	646	666
3	1032	1015	3047	3047	984	984
4	1306	1306	3764	4000	1254	1254
5	1523	1523	4000	4000	1422	1454
6	1777	1777	4571	4571	1641	1684
7	2000	2000	5818	5818	2000	2000
8	2285	2285	6400	6400	2206	2206
9	2461	2560	7111	6400	2461	2461
10	2461	2461	6400	5333	2370	2370
11	2666	2666	5818	6400	2370	2666
12	2909	2909	6400	6400	2782	2782
13	3200	3368	7111	8000	3047	3047
14	3368	3555	7111	8000	3200	3368
15	3368	3368	6400	6400	3200	3368
16	3764	3555	7111	7111	3555	3555
17	3764	3764	6400	6400	3368	3555
18	4266	4000	7111	8000	3764	4000
19	4000	4000	7111	7111	3555	4000
20	4000	4000	7111	6400	3555	3764
21	4266	4000	7111	6400	3764	4000
22	4571	4266	7111	6400	4266	4266
23	4923	4923	8000	8000	4571	4571
24	5333	4923	9142	9142	4571	4923
