Threads	clwb sfence	clwb	ns sfence	ns store	clf_load	load
1	143	142	1306	1454	137	142
2	289	288	3368	3555	289	285
3	429	426	4923	5333	435	429
4	556	561	7111	7111	581	571
5	703	680	9142	9142	727	719
6	810	810	10666	10666	876	864
7	941	927	12800	9142	1015	1015
8	1066	1066	16000	9142	1163	1163
9	1185	1185	21333	9142	1333	1306
10	1306	1306	21333	9142	1488	1454
11	1422	1422	21333	9142	1641	1600
12	1523	1523	32000	8000	1777	1729
13	1684	1641	32000	9142	1939	1882
14	1828	1729	32000	10666	2064	2000
15	1939	1828	32000	10666	2206	2133
16	2064	1939	32000	12800	2285	2285
17	2206	2000	32000	12800	2461	2461
18	2370	2133	32000	12800	2560	2560
19	2461	2206	64000	12800	2782	2782
20	2560	2285	64000	12800	2909	2909
21	2666	2370	64000	12800	3047	3047
22	2782	2370	64000	12800	3200	3200
23	2909	2461	64000	12800	3368	3368
24	2909	2461	64000	12800	3555	3368
