Threads	clwb sfence	clwb	ns sfence	ns store	clf_load	load
1	374	1729	1600	1882	1560	1684
2	790	3555	3555	3764	3200	3368
3	1207	5333	5333	5818	4923	4923
4	1600	7111	7111	7111	5818	6400
5	2064	9142	9142	10666	7111	7111
6	2370	10666	10666	12800	9142	9142
7	2909	12800	12800	12800	9142	9142
8	3368	16000	16000	16000	10666	10666
9	3764	16000	16000	21333	12800	10666
10	4000	21333	21333	21333	12800	12800
11	4266	21333	21333	21333	16000	16000
12	4923	21333	21333	32000	16000	16000
13	5333	21333	32000	32000	16000	16000
14	5818	32000	32000	32000	16000	21333
15	6400	32000	32000	32000	16000	21333
16	6400	32000	32000	32000	21333	21333
