Threads	clwb sfence	clwb	ns sfence	ns store	clf_load	load
1	137	134	250	251	134	138
2	273	275	507	512	270	278
3	500	500	1142	1142	488	500
4	659	659	1488	1422	640	640
5	653	673	1185	1230	659	653
6	790	780	1488	1422	790	790
7	927	955	1729	1828	914	941
8	1207	1254	2782	2666	1230	1230
9	1422	1422	3200	3200	1361	1333
10	1254	1230	2370	2206	1230	1230
11	1641	1684	3555	3555	1600	1641
12	1523	1523	2909	2782	1488	1454
13	1882	1939	4000	4000	1882	1828
14	2064	2000	4571	4571	1939	1939
15	2206	2206	4923	4571	2064	2064
16	2206	2285	4923	4923	2133	2133
