Threads	clwb sfence	clwb	ns sfence	ns store	clf_load	load
1	249	1523	1488	1729	1422	1560
2	474	3047	3200	3555	2666	2909
3	719	4571	4571	5818	4266	4266
4	955	5818	5818	7111	4923	4923
5	1230	7111	9142	10666	6400	6400
6	1454	9142	10666	12800	7111	7111
7	1777	9142	12800	12800	9142	8000
8	2000	10666	12800	16000	9142	9142
9	2206	10666	16000	21333	9142	10666
10	2370	12800	16000	21333	10666	10666
11	2782	12800	21333	21333	10666	10666
12	2909	12800	21333	32000	12800	12800
13	3200	12800	21333	32000	12800	12800
14	3368	12800	32000	32000	16000	16000
15	3555	16000	32000	32000	16000	16000
16	3764	16000	32000	32000	16000	16000
